iter	MultiClass
0	0.9698466124
1	0.8803363203
2	0.7807625703
3	0.7201396548
4	0.6552431414
5	0.5965544008
6	0.5522637849
7	0.5038717214
8	0.4616750352
9	0.4283843293
10	0.3936436464
11	0.3681779706
12	0.34616353
13	0.3225390791
14	0.3060881577
15	0.2875370569
16	0.2750214761
17	0.2603771328
18	0.2478909965
19	0.2349689944
20	0.2245493027
21	0.2137658773
22	0.204586519
23	0.1964181752
24	0.1886232459
25	0.1819074398
26	0.1752564682
27	0.1687897766
28	0.1632757354
29	0.1583274838
30	0.1526034241
31	0.1475650483
32	0.1431710496
33	0.1406913117
34	0.1367572469
35	0.1320932085
36	0.1294365179
37	0.1256010049
38	0.1208232924
39	0.1167919972
40	0.1139042558
41	0.1124106285
42	0.1114111491
43	0.1093677022
44	0.1069395056
45	0.1055486257
46	0.1041263166
47	0.1022181859
48	0.1002366915
49	0.09855816131
50	0.0963562701
51	0.09420872761
52	0.09150845893
53	0.09001379228
54	0.08867133449
55	0.08746448803
56	0.08660357143
57	0.08542081246
58	0.08442670647
59	0.08231713157
60	0.08076673572
61	0.0795446123
62	0.07807022187
63	0.07650781086
64	0.07538467383
65	0.07415700661
66	0.07321987896
67	0.07257390657
68	0.07190545201
69	0.07112085724
70	0.07026347043
71	0.06896514491
72	0.06763208238
73	0.06685194232
74	0.06606209788
75	0.0650901294
76	0.06462315858
77	0.06371585773
78	0.06269813738
79	0.06198844096
80	0.06141129895
81	0.06057289201
82	0.06017846793
83	0.05921965396
84	0.05861669406
85	0.05807306042
86	0.05694322701
87	0.05594864331
88	0.05546376596
89	0.05447565815
90	0.05373356511
91	0.05320853365
92	0.05271570179
93	0.05208565058
94	0.05180790118
95	0.05114502756
96	0.05082142089
97	0.05014693437
98	0.0493632575
99	0.04875503874
